aveQtyPerPurchase,medHitTotal,medPageView,medRevenuePerSess,medTimeBtwnSess,minTimeBtwnSess,numOfSess,percentSessWithPurchase
126.0,279.0,-160.0,38.5,941.5,1680.0,-1217.5,46.5
483.0,399.0,-130.0,51757.02,3440.5,2400.0,-992.5,51765.02
133.0,339.0,-145.0,72.03,990.5,2040.0,-1105.0,80.03
161.0,675.0,-77.5,6226.99,1186.5,4056.0,-598.75,6234.99
126.0,1209.0,162.5,38.5,941.5,7260.0,1201.25,46.5
126.0,279.0,-152.5,38.5,941.5,1680.0,-1161.25,46.5
287.333333333,393.0,-122.5,444.99,2070.83333333,2364.0,-936.25,452.99
147.0,483.0,-92.5,1984.85,1088.5,2904.0,-711.25,1992.85
147.0,1065.0,-25.0,1309.35,1088.5,6396.0,-205.0,1317.35
126.0,249.0,-130.0,38.5,941.5,1500.0,-992.5,46.5
196.0,1659.0,110.0,41145.23,1431.5,9960.0,807.5,41153.23
127.4,411.0,-137.5,38.5,951.3,2472.0,-1048.75,46.5
133.0,381.0,-122.5,1150.87,990.5,2292.0,-936.25,1158.87
126.0,744.0,-122.5,38.5,941.5,4470.0,-936.25,46.5
175.0,375.0,-130.0,724.57,1284.5,2256.0,-992.5,732.57
126.0,657.0,-77.5,38.5,941.5,3948.0,-598.75,46.5
627.333333333,1623.0,57.5,36855.42,4450.83333333,9744.0,413.75,36863.42
160.125,705.0,-73.75,773.15,1180.375,4236.0,-570.625,781.15
133.0,483.0,-115.0,334.46,990.5,2904.0,-880.0,342.46
147.0,393.0,-137.5,446.81,1088.5,2364.0,-1048.75,454.81
150.5,465.0,-130.0,270.725,1113.0,2796.0,-992.5,278.725
126.0,1197.0,12.5,38.5,941.5,7188.0,76.25,46.5
126.0,219.0,-152.5,38.5,941.5,1320.0,-1161.25,46.5
166.833333333,411.0,-137.5,697.48,1227.33333333,2472.0,-1048.75,705.48
140.0,573.0,-92.5,1234.135,1039.5,3444.0,-711.25,1242.135
193.666666667,459.0,-130.0,2298.59,1415.16666667,2760.0,-992.5,2306.59
126.0,303.0,-107.5,38.5,941.5,1824.0,-823.75,46.5
140.0,465.0,-122.5,605.99,1039.5,2796.0,-936.25,613.99
210.0,399.0,-130.0,591.15,1529.5,2400.0,-992.5,599.15
126.0,537.0,-107.5,38.5,941.5,3228.0,-823.75,46.5
497.0,417.0,-130.0,19153.19,3538.5,2508.0,-992.5,19161.19
127.75,483.0,-118.75,38.5,953.75,2904.0,-908.125,46.5
126.0,321.0,-141.25,38.5,941.5,1932.0,-1076.875,46.5
135.8,549.0,-115.0,141.12,1010.1,3300.0,-880.0,149.12
379.826086956,705.0,-85.0,1659.14,2718.28260869,4236.0,-655.0,1667.14
336.0,423.0,-137.5,1065.12,2411.5,2544.0,-1048.75,1073.12
126.0,417.0,-145.0,38.5,941.5,2508.0,-1105.0,46.5
126.0,321.0,-148.75,38.5,941.5,1932.0,-1133.125,46.5
161.0,363.0,-137.5,2791.18,1186.5,2184.0,-1048.75,2799.18
168.0,393.0,-137.5,101.08,1235.5,2364.0,-1048.75,109.08
126.0,591.0,-32.5,38.5,941.5,3552.0,-261.25,46.5
140.0,327.0,-145.0,177.94,1039.5,1968.0,-1105.0,185.94
140.0,387.0,-137.5,1619.52,1039.5,2328.0,-1048.75,1627.52
441.0,855.0,-47.5,5637.94,3146.5,5136.0,-373.75,5645.94
147.0,909.0,-62.5,8807.96,1088.5,5460.0,-486.25,8815.96
238.0,789.0,-47.5,5632.76,1725.5,4740.0,-373.75,5640.76
241.5,501.0,-118.75,2138.255,1750.0,3012.0,-908.125,2146.255
126.0,369.0,-130.0,38.5,941.5,2220.0,-992.5,46.5
155.75,465.0,-103.75,680.05,1149.75,2796.0,-795.625,688.05
126.0,315.0,-152.5,38.5,941.5,1896.0,-1161.25,46.5
126.0,249.0,-160.0,38.5,941.5,1500.0,-1217.5,46.5
378.0,456.0,-122.5,5187.35,2705.5,2742.0,-936.25,5195.35
127.75,438.0,-130.0,38.5,953.75,2634.0,-992.5,46.5
161.0,537.0,-92.5,983.5,1186.5,3228.0,-711.25,991.5
126.0,627.0,-92.5,38.5,941.5,3768.0,-711.25,46.5
126.0,297.0,-152.5,38.5,941.5,1788.0,-1161.25,46.5
126.0,375.0,-122.5,38.5,941.5,2256.0,-936.25,46.5
126.0,279.0,-122.5,38.5,941.5,1680.0,-936.25,46.5
126.0,219.0,-160.0,38.5,941.5,1320.0,-1217.5,46.5
126.0,279.0,-148.75,38.5,941.5,1680.0,-1133.125,46.5
126.0,429.0,-122.5,38.5,941.5,2580.0,-936.25,46.5
126.0,462.0,-122.5,38.5,941.5,2778.0,-936.25,46.5
154.0,465.0,-122.5,743.26,1137.5,2796.0,-936.25,751.26
295.0,588.0,-96.25,1519.525,2124.5,3534.0,-739.375,1527.525
150.111111111,351.0,-130.0,78.75,1110.27777778,2112.0,-992.5,86.75
126.0,384.0,-145.0,38.5,941.5,2310.0,-1105.0,46.5
126.0,225.0,-130.0,38.5,941.5,1356.0,-992.5,46.5
126.0,330.0,-130.0,38.5,941.5,1986.0,-992.5,46.5
2354.0,489.0,-122.5,1765.82,16537.5,2940.0,-936.25,1773.82
252.0,1593.0,72.5,9233.07,1823.5,9564.0,526.25,9241.07
133.0,267.0,-122.5,513.94,990.5,1608.0,-936.25,521.94
126.0,495.0,-122.5,38.5,941.5,2976.0,-936.25,46.5
126.0,459.0,-115.0,38.5,941.5,2760.0,-880.0,46.5
133.0,327.0,-145.0,157.85,990.5,1968.0,-1105.0,165.85
126.0,255.0,-145.0,38.5,941.5,1536.0,-1105.0,46.5
294.0,465.0,-122.5,521.22,2117.5,2796.0,-936.25,529.22
126.0,1227.0,27.5,38.5,941.5,7368.0,188.75,46.5
161.0,1293.0,20.0,16721.88,1186.5,7764.0,132.5,16729.88
140.0,363.0,-137.5,1047.34,1039.5,2184.0,-1048.75,1055.34
159.833333333,381.0,-133.75,38.5,1178.33333333,2292.0,-1020.625,46.5
126.0,369.0,-145.0,38.5,941.5,2220.0,-1105.0,46.5
203.0,534.0,-96.25,2279.2,1480.5,3210.0,-739.375,2287.2
135.1,441.0,-122.5,198.94,1005.2,2652.0,-936.25,206.94
140.0,357.0,-137.5,415.87,1039.5,2148.0,-1048.75,423.87
154.0,453.0,-118.75,733.355,1137.5,2724.0,-908.125,741.355
133.0,519.0,-107.5,233.1,990.5,3120.0,-823.75,241.1
126.0,207.0,-152.5,38.5,941.5,1248.0,-1161.25,46.5
140.0,345.0,-137.5,184.31,1039.5,2076.0,-1048.75,192.31
187.25,558.0,-96.25,1563.1,1370.25,3354.0,-739.375,1571.1
1324.75,387.0,-130.0,2986.445,9332.75,2328.0,-992.5,2994.445
126.0,765.0,-10.0,38.5,941.5,4596.0,-92.5,46.5
238.933333333,417.0,-100.0,1912.12,1732.03333333,2508.0,-767.5,1920.12
329.0,447.0,-122.5,3940.44,2362.5,2688.0,-936.25,3948.44
126.0,255.0,-152.5,38.5,941.5,1536.0,-1161.25,46.5
126.0,1023.0,5.0,38.5,941.5,6144.0,20.0,46.5
182.0,675.0,-77.5,4123.455,1333.5,4056.0,-598.75,4131.455
266.0,507.0,-115.0,5777.52,1921.5,3048.0,-880.0,5785.52
164.5,390.0,-130.0,131.39,1211.0,2346.0,-992.5,139.39
210.0,411.0,-130.0,1438.78,1529.5,2472.0,-992.5,1446.78
133.0,357.0,-137.5,2256.52,990.5,2148.0,-1048.75,2264.52
126.0,141.0,-167.5,38.5,941.5,852.0,-1273.75,46.5
301.0,810.0,-73.75,1897.665,2166.5,4866.0,-570.625,1905.665
126.0,621.0,-100.0,38.5,941.5,3732.0,-767.5,46.5
126.0,651.0,-85.0,38.5,941.5,3912.0,-655.0,46.5
171.5,456.0,-122.5,2010.89,1260.0,2742.0,-936.25,2018.89
321.631578948,573.0,-100.0,1472.38,2310.92105263,3444.0,-767.5,1480.38
196.0,759.0,-47.5,5452.3,1431.5,4560.0,-373.75,5460.3
126.0,345.0,-145.0,38.5,941.5,2076.0,-1105.0,46.5
126.0,417.0,-130.0,38.5,941.5,2508.0,-992.5,46.5
126.0,855.0,-55.0,38.5,941.5,5136.0,-430.0,46.5
140.0,411.0,-130.0,750.96,1039.5,2472.0,-992.5,758.96
180.6,429.0,-122.5,579.74,1323.7,2580.0,-936.25,587.74
201.727272727,657.0,-70.0,855.75,1471.59090909,3948.0,-542.5,863.75
129.5,759.0,-51.25,761.67,966.0,4560.0,-401.875,769.67
126.0,294.0,-133.75,38.5,941.5,1770.0,-1020.625,46.5
126.0,435.0,-130.0,38.5,941.5,2616.0,-992.5,46.5
126.0,396.0,-133.75,38.5,941.5,2382.0,-1020.625,46.5
179.666666667,681.0,-85.0,317.17,1317.16666667,4092.0,-655.0,325.17
200.2,444.0,-118.75,214.095,1460.9,2670.0,-908.125,222.095
126.0,279.0,-145.0,38.5,941.5,1680.0,-1105.0,46.5
126.0,708.0,-70.0,38.5,941.5,4254.0,-542.5,46.5
154.0,891.0,-55.0,516.81,1137.5,5352.0,-430.0,524.81
147.0,429.0,-130.0,610.61,1088.5,2580.0,-992.5,618.61
129.5,294.0,-137.5,260.925,966.0,1770.0,-1048.75,268.925
4022.55,1047.0,-43.75,1445.99,28217.35,6288.0,-345.625,1453.99
129.5,462.0,-118.75,6895.98,966.0,2778.0,-908.125,6903.98
126.0,615.0,-77.5,38.5,941.5,3696.0,-598.75,46.5
154.0,585.0,-100.0,421.96,1137.5,3516.0,-767.5,429.96
133.0,468.0,-107.5,165.41,990.5,2814.0,-823.75,173.41
126.0,495.0,-85.0,38.5,941.5,2976.0,-655.0,46.5
126.0,288.0,-141.25,38.5,941.5,1734.0,-1076.875,46.5
623.0,1311.0,27.5,14595.42,4420.5,7872.0,188.75,14603.42
126.0,285.0,-152.5,38.5,941.5,1716.0,-1161.25,46.5
493.5,396.0,-133.75,1018.85,3514.0,2382.0,-1020.625,1026.85
133.0,489.0,-115.0,1261.82,990.5,2940.0,-880.0,1269.82
126.0,300.0,-137.5,38.5,941.5,1806.0,-1048.75,46.5
142.333333333,345.0,-130.0,38.5,1055.83333333,2076.0,-992.5,46.5
126.0,252.0,-141.25,38.5,941.5,1518.0,-1076.875,46.5
126.0,762.0,-70.0,38.5,941.5,4578.0,-542.5,46.5
126.0,225.0,-160.0,38.5,941.5,1356.0,-1217.5,46.5
1729.0,513.0,-115.0,12037.76,12162.5,3084.0,-880.0,12045.76
182.0,573.0,-100.0,539.42,1333.5,3444.0,-767.5,547.42
298.375,981.0,-13.75,7983.675,2148.125,5892.0,-120.625,7991.675
154.0,453.0,-130.0,13404.93,1137.5,2724.0,-992.5,13412.93
736.272727273,441.0,-122.5,2046.8,5213.40909091,2652.0,-936.25,2054.8
126.0,303.0,-152.5,38.5,941.5,1824.0,-1161.25,46.5
147.0,297.0,-152.5,491.89,1088.5,1788.0,-1161.25,499.89
133.0,519.0,-100.0,726.81,990.5,3120.0,-767.5,734.81
167.461538462,423.0,-122.5,1062.95,1231.73076923,2544.0,-936.25,1070.95
126.0,501.0,-111.25,38.5,941.5,3012.0,-851.875,46.5
